[2021-06-25 13:28:10] [tech-detect:google-font-api] [http] [info] http://movement.bitfinex.com:8080
[2021-06-25 13:28:10] [tech-detect:cloudflare] [http] [info] http://movement.bitfinex.com:8080
[2021-06-25 13:28:10] [tech-detect:cloudflare] [http] [info] http://pulse.bitfinex.com:8080
[2021-06-25 13:28:10] [tech-detect:google-font-api] [http] [info] http://pulse.bitfinex.com:8080
[2021-06-25 13:28:10] [tech-detect:cloudflare] [http] [info] http://reporting.bitfinex.com:8443
[2021-06-25 13:28:10] [tech-detect:cloudflare] [http] [info] http://santiment.bitfinex.com:8443
[2021-06-25 13:28:10] [tech-detect:google-font-api] [http] [info] http://pulse.bitfinex.com
[2021-06-25 13:28:10] [tech-detect:cloudflare] [http] [info] http://pulse.bitfinex.com
[2021-06-25 13:28:11] [tech-detect:cloudflare] [http] [info] http://report.bitfinex.com
[2021-06-25 13:28:11] [tech-detect:cloudflare] [http] [info] http://report.bitfinex.com:8080
[2021-06-25 13:28:11] [tech-detect:cloudflare] [http] [info] http://setting.bitfinex.com:8443
[2021-06-25 13:28:11] [tech-detect:font-awesome] [http] [info] http://santiment.bitfinex.com
[2021-06-25 13:28:11] [tech-detect:google-font-api] [http] [info] http://santiment.bitfinex.com
[2021-06-25 13:28:11] [tech-detect:cloudflare] [http] [info] http://santiment.bitfinex.com
[2021-06-25 13:28:11] [tech-detect:cloudflare] [http] [info] http://staking.bitfinex.com:8443
[2021-06-25 13:28:12] [tech-detect:font-awesome] [http] [info] http://santiment.bitfinex.com:8080
[2021-06-25 13:28:12] [tech-detect:google-font-api] [http] [info] http://santiment.bitfinex.com:8080
[2021-06-25 13:28:12] [tech-detect:cloudflare] [http] [info] http://santiment.bitfinex.com:8080
[2021-06-25 13:28:12] [tech-detect:google-font-api] [http] [info] http://setting.bitfinex.com
[2021-06-25 13:28:12] [tech-detect:cloudflare] [http] [info] http://setting.bitfinex.com
[2021-06-25 13:28:12] [tech-detect:cloudflare] [http] [info] http://static.bitfinex.com:8443
[2021-06-25 13:28:12] [tech-detect:google-font-api] [http] [info] http://setting.bitfinex.com:8080
[2021-06-25 13:28:12] [tech-detect:cloudflare] [http] [info] http://setting.bitfinex.com:8080
[2021-06-25 13:28:12] [tech-detect:cloudflare] [http] [info] http://staking.bitfinex.com
